,RequestBrand,SanctionBrand,similarityBrand,RequestId,RequestName,enterprise_id,SanctionName,RequestTrade,SanctionTrade,similarityTrade,RequestPlace,SanctionPlace,similarityPlace,boost_similarity
52,电信,电信,1.0,h,北京市电信工程设计院有限公司广州分公司,10150788-X,北京市电信工程设计院有限公司,工程设计院,工程设计院,1.0,北京市广州,北京市,0.6128635770504275,0.9612863577050428
53,电信,电信,1.0,h,北京市电信工程设计院有限公司广州分公司,MA5AQBWX-0,北京市电信工程设计院有限公司广州分公司,工程设计院,工程设计院,1.0,北京市广州,北京市广州,1.0,1.0
54,电信,电信,1.0,h,北京市电信工程设计院有限公司广州分公司,10194006-9,北京电信规划设计院有限公司,,,0.0,,,0.0,1.0
55,电信,国信,0.2913781717883872,h,北京市电信工程设计院有限公司广州分公司,58649567-9,广元市国信物业管理有限公司,,,0.0,,,0.0,0.2913781717883872
56,电信,国信,0.2913781717883872,h,北京市电信工程设计院有限公司广州分公司,73572480-0,江苏省国信集团有限公司,,,0.0,,,0.0,0.2913781717883872
57,电信,恒信,0.26761386769466317,h,北京市电信工程设计院有限公司广州分公司,74137082-6,天津市恒信地毯有限公司,,,0.0,,,0.0,0.26761386769466317
58,电信,诚信,0.2651795807840757,h,北京市电信工程设计院有限公司广州分公司,74505085-4,嵊州市诚信电子有限公司,,,0.0,,,0.0,0.2651795807840757
59,电信,宏信,0.2563990401488458,h,北京市电信工程设计院有限公司广州分公司,55427197-X,上海宏信家政服务有限公司,,,0.0,,,0.0,0.2563990401488458
60,电信,中国电信集团昱海澜湾营业厅,0.2512411817719413,h,北京市电信工程设计院有限公司广州分公司,MA0EGN4W-7,中国电信集团有限公司唐山曹妃甸昱海澜湾营业厅,,,0.0,,,0.0,0.2512411817719413
61,兴宏,兴宏,0.9999999999999999,i,云南牟定兴宏铜业有限公司,66829081-0,云南牟定兴宏有色金属有限公司,,,0.0,云南牟定,云南牟定,0.9999999999999998,0.9999999999999999
62,兴宏,兴宏,0.9999999999999999,i,云南牟定兴宏铜业有限公司,76042189-5,云南牟定兴宏铜业有限公司,铜业,铜业,1.0000000000000002,云南牟定,云南牟定,0.9999999999999998,0.9999999999999999
63,兴宏,兴富,0.6858257928031627,i,云南牟定兴宏铜业有限公司,MA52UKBW-8,四会市兴富水产养殖有限公司,,,0.0,,,0.0,0.6858257928031627
64,兴宏,国宏,0.3312462714322529,i,云南牟定兴宏铜业有限公司,MA3XECXN-X,河南国宏融资租赁有限公司,,,0.0,,,0.0,0.3312462714322529
65,兴宏,康宏,0.30129822170042075,i,云南牟定兴宏铜业有限公司,75103955-5,湖北康宏粮油食品有限公司,,,0.0,,,0.0,0.30129822170042075
66,兴宏,川宏,0.2739131385877101,i,云南牟定兴宏铜业有限公司,75637612-0,山东川宏装饰工程有限公司,,,0.0,,,0.0,0.2739131385877101
67,新乐天,新乐天,1.0,j,东莞新乐天牙科器材有限公司,32953598-3,东莞新乐天牙科器材有限公司,牙科器材,牙科器材,1.0000000000000002,东莞,东莞,0.9999999999999998,1.0
68,新乐天,新乐天,1.0,k,新乐天牙科器材公司,32953598-3,东莞新乐天牙科器材有限公司,牙科器材,牙科器材,1.0000000000000002,,,0.0,1.0
69,乐天,新乐天,0.7267789100956722,l,新乐天,32953598-3,东莞新乐天牙科器材有限公司,,,0.0,,,0.0,0.7267789100956722
70,新乐天,君乐宝,0.3413631000814525,j,东莞新乐天牙科器材有限公司,MA3X4130-6,正阳君乐宝乳业有限公司,,,0.0,,,0.0,0.3413631000814525
71,新乐天,君乐宝,0.3413631000814525,k,新乐天牙科器材公司,MA3X4130-6,正阳君乐宝乳业有限公司,,,0.0,,,0.0,0.3413631000814525
72,新乐天,乐百年,0.3399762789460996,j,东莞新乐天牙科器材有限公司,MA207B7G-4,南通乐百年保健食品科技有限公司,,,0.0,,,0.0,0.3399762789460996
73,新乐天,乐百年,0.3399762789460996,k,新乐天牙科器材公司,MA207B7G-4,南通乐百年保健食品科技有限公司,,,0.0,,,0.0,0.3399762789460996
74,乐天,乐百年,0.46778500892567954,l,新乐天,MA207B7G-4,南通乐百年保健食品科技有限公司,,,0.0,,,0.0,0.46778500892567954
75,新乐天,欢乐云,0.32947204163434995,j,东莞新乐天牙科器材有限公司,MA6123FX-3,北京欢乐云国际旅行社有限公司重庆分公司,,,0.0,,,0.0,0.32947204163434995
76,新乐天,欢乐云,0.32947204163434995,k,新乐天牙科器材公司,MA6123FX-3,北京欢乐云国际旅行社有限公司重庆分公司,,,0.0,,,0.0,0.32947204163434995
77,新乐天,新天,0.3284810052885584,j,东莞新乐天牙科器材有限公司,33671361-0,安徽新天生物科技有限公司,,,0.0,,,0.0,0.3284810052885584
78,新乐天,新天,0.3284810052885584,k,新乐天牙科器材公司,33671361-0,安徽新天生物科技有限公司,,,0.0,,,0.0,0.3284810052885584
79,新乐天,天乐信达,0.3116525159888295,j,东莞新乐天牙科器材有限公司,09614403-2,四川天乐信达光电有限公司,,,0.0,,,0.0,0.3116525159888295
